python_time,esp32_hw_time,sensor_name,ax,ay,az,gx,gy,gz,mx,my,mz,q0,q1,q2,q3,quat_roll,quat_pitch,quat_yaw,is_paused_flag,t_pose_flag
2026-06-16 15:50:30.301,1043594,L_Hip,0.1215,-0.07,0.9909,-4.15,4.51,2.96,-14.83,26.77,-22.26,0.97055,-0.042909,-0.062746,-0.228523,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.302,1043467,R_Shank,0.0458,-0.0724,1.0032,-0.09,-1.47,-8.41,-15.58,25.59,-22.15,0.924162,0.03534,-0.020112,0.379772,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.303,1043614,L_Hip,0.1288,-0.0764,0.9711,-4.16,4.51,2.98,-13.99,26.3,-22.71,0.97055,-0.042879,-0.062716,-0.228523,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.304,1043487,R_Shank,0.0384,0.8276,0.9956,-0.09,-1.48,-8.41,-14.93,26.25,-21.55,0.924162,0.03531,-0.020142,0.379772,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.305,1043634,L_Hip,0.1171,-0.0725,0.9953,-4.16,4.5,2.97,0.0,0.0,0.0,0.97055,-0.042879,-0.062746,-0.228523,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.307,1043586,L_Shank,0.0042,-0.0219,0.9878,1.76,-1.18,-0.21,3.63,2.17,-17.0,0.975249,-0.003113,-0.025513,0.21955,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.309,1043606,L_Shank,-0.0001,-0.0229,0.9791,1.75,-1.18,-0.2,3.45,2.33,-16.22,0.975249,-0.003113,-0.025544,0.21955,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.311,1043462,R_Hip,0.0358,0.0142,0.989,0.26,-1.58,1.77,-18.87,28.36,-33.51,0.93762,-0.004212,-0.041719,-0.345073,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.312,1043626,L_Shank,-0.001,-0.02,0.9767,1.75,-1.19,-0.19,0.0,0.0,0.0,0.975249,-0.003113,-0.025513,0.21955,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.313,1043482,R_Hip,0.0476,0.0059,0.9996,0.27,-1.57,1.77,0.0,0.0,0.0,0.93762,-0.004212,-0.041719,-0.345073,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.314,1043646,L_Shank,0.0042,-0.0248,0.9806,1.76,-1.19,-0.21,3.97,1.82,-16.06,0.975249,-0.003113,-0.025544,0.21955,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.315,1043502,R_Hip,0.0348,0.0123,0.9765,0.27,-1.58,1.78,-18.14,29.08,-31.45,0.93762,-0.004212,-0.041719,-0.345073,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.317,1043596,L_Ankle,0.1433,0.0129,0.9851,5.41,-0.83,-10.3,-38.53,-1.95,-39.88,0.94882,0.042634,-0.074007,0.303964,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.318,1043522,R_Hip,0.0461,0.0103,0.9789,0.27,-1.58,1.78,-17.78,28.72,-32.14,0.93762,-0.004212,-0.041688,-0.345073,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.319,1043616,L_Ankle,0.1393,0.0046,0.9813,5.41,-0.83,-10.32,0.0,0.0,0.0,0.94882,0.042604,-0.074007,0.303964,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.322,1043636,L_Ankle,0.1447,0.0041,0.9938,5.41,-0.83,-10.32,-37.85,-1.26,-40.54,0.94882,0.042634,-0.073977,0.303964,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.322,1043467,R_Ankle,0.014,-0.0126,1.0163,0.76,-1.73,-0.49,-16.04,29.87,-28.97,0.204474,0.088809,0.020234,0.974609,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.325,1043487,R_Ankle,0.0111,-0.0215,1.0077,0.77,-1.71,-0.48,-15.19,29.4,-29.11,0.204474,0.088839,0.020203,0.974609,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.325,1043597,L_Ankle,0.1359,0.0158,0.9784,5.4,-0.83,-10.29,-38.89,-2.3,-40.91,0.94882,0.042634,-0.073977,0.303964,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.327,1043507,R_Ankle,0.014,-0.0047,1.0091,0.77,-1.73,-0.49,0.0,0.0,0.0,0.204474,0.088839,0.020173,0.974609,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.329,1043606,L_Hip,0.1185,-0.0779,0.9832,-4.16,4.51,2.98,-13.62,26.64,-24.17,0.97055,-0.042909,-0.062746,-0.228523,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.331,1043527,R_Ankle,0.0091,-0.02,1.0201,0.77,-1.73,-0.48,-17.23,30.34,-29.15,0.204443,0.088809,0.020173,0.974609,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.332,1043626,L_Hip,0.1279,-0.0685,0.9861,-4.16,4.52,2.97,-15.02,26.28,-21.82,0.97055,-0.042909,-0.062746,-0.228523,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.333,1043469,R_Shank,0.0384,-1.8728,0.9869,-0.09,-1.48,-8.43,-16.61,26.28,-22.13,0.924162,0.03531,-0.020142,0.379772,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.335,1043646,L_Hip,0.1323,-0.0671,0.9769,-4.15,4.51,2.96,-14.5,27.42,-21.4,0.97055,-0.042909,-0.062746,-0.228523,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.335,1043489,R_Shank,0.0434,-2.3844,0.9994,-0.08,-1.46,-8.41,0.0,0.0,0.0,0.924162,0.03531,-0.020142,0.379742,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.336,1043666,L_Hip,0.1225,-0.0725,0.9861,-4.15,4.49,2.98,0.0,0.0,0.0,0.97055,-0.042909,-0.062746,-0.228523,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.338,1043509,R_Shank,0.035,-2.7732,1.0109,-0.08,-1.47,-8.43,-16.59,25.61,-22.14,0.924162,0.03531,-0.020142,0.379742,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.339,1043619,L_Ankle,0.1413,0.0105,0.9875,5.42,-0.83,-10.3,-38.86,-2.65,-39.55,0.94882,0.042634,-0.073977,0.303964,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.340,1043529,R_Shank,0.0414,-0.7136,1.0095,-0.09,-1.47,-8.41,-16.61,26.28,-21.83,0.924162,0.03531,-0.020142,0.379742,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.341,1043639,L_Ankle,0.1472,0.0031,0.9856,5.42,-0.82,-10.3,0.0,0.0,0.0,0.94882,0.042634,-0.074007,0.303964,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.343,1043659,L_Ankle,0.1339,0.0158,0.9861,5.42,-0.83,-10.29,-39.41,-0.7,-39.04,0.94882,0.042634,-0.073977,0.303964,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.345,1043679,L_Ankle,0.1398,0.0114,0.9861,5.41,-0.83,-10.3,-38.53,-2.31,-40.56,0.94882,0.042634,-0.074007,0.303964,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.348,1043636,L_Shank,0.0042,-0.0234,0.9983,1.75,-1.18,-0.19,3.29,1.84,-17.3,0.975249,-0.003082,-0.025513,0.21955,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.350,1043656,L_Shank,-0.001,-0.0195,0.9887,1.77,-1.17,-0.18,2.76,3.03,-17.47,0.975249,-0.003082,-0.025513,0.219581,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.351,1043676,L_Shank,0.0013,-0.0258,0.9863,1.76,-1.19,-0.19,0.0,0.0,0.0,0.975249,-0.003052,-0.025513,0.21955,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.353,1043696,L_Shank,0.0062,-0.0219,0.9714,1.77,-1.17,-0.19,4.69,0.49,-17.61,0.975249,-0.003082,-0.025513,0.219581,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.360,1043512,R_Hip,0.0491,0.0103,0.9919,0.25,-1.57,1.77,-18.5,28.35,-30.08,0.93762,-0.004181,-0.041688,-0.345073,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.361,1043532,R_Hip,0.0431,0.0103,0.9982,0.25,-1.58,1.78,0.0,0.0,0.0,0.93762,-0.004212,-0.041688,-0.345073,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.363,1043552,R_Hip,0.0471,0.0128,0.99,0.26,-1.57,1.79,-18.5,27.99,-32.48,0.93762,-0.004212,-0.041688,-0.345073,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.365,1043572,R_Hip,0.0412,0.0074,1.0063,0.27,-1.58,1.75,-17.59,29.27,-32.31,0.93762,-0.004181,-0.041688,-0.345073,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.368,1043516,R_Shank,0.0384,-1.7432,1.0037,-0.09,-1.45,-8.43,-15.28,27.25,-21.54,0.924162,0.03534,-0.020173,0.379742,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.371,1043536,R_Shank,0.0438,0.8276,1.0128,-0.09,-1.45,-8.42,-16.26,25.61,-21.54,0.924162,0.03534,-0.020142,0.379742,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.376,1043556,R_Shank,0.0355,0.4388,1.0071,-0.08,-1.46,-8.41,-16.1,26.1,-21.69,0.924162,0.03534,-0.020173,0.379742,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.376,1043661,L_Shank,0.0018,-0.0204,0.9935,1.76,-1.18,-0.19,3.28,2.51,-17.0,0.975249,-0.003052,-0.025544,0.21955,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.378,1043576,R_Shank,0.033,1.4688,1.0076,-0.09,-1.46,-8.42,0.0,0.0,0.0,0.924162,0.03534,-0.020142,0.379742,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.379,1043681,L_Shank,0.0062,-0.019,0.9724,1.76,-1.17,-0.19,2.92,2.84,-16.07,0.975249,-0.003052,-0.025513,0.219581,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.381,1043701,L_Shank,0.0028,-0.0141,0.981,1.76,-1.18,-0.2,0.0,0.0,0.0,0.975249,-0.003052,-0.025513,0.219581,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.384,1043534,R_Ankle,0.016,-0.0086,1.0062,0.76,-1.72,-0.51,-16.38,30.18,-28.98,0.204443,0.088839,0.020173,0.974609,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.385,1043721,L_Shank,-0.0006,-0.0253,0.9686,1.77,-1.18,-0.2,1.53,2.85,-16.68,0.975249,-0.003082,-0.025544,0.219581,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.387,1043554,R_Ankle,0.0096,-0.0136,0.9971,0.76,-1.73,-0.5,-15.88,28.12,-28.8,0.204474,0.088839,0.020173,0.974609,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.388,1043664,L_Ankle,0.1442,0.0109,0.9813,5.41,-0.83,-10.29,-38.35,-1.42,-39.36,0.94882,0.042604,-0.074007,0.303964,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.391,1043574,R_Ankle,0.0096,-0.0096,1.0129,0.77,-1.74,-0.49,0.0,0.0,0.0,0.204474,0.088839,0.020203,0.974609,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.391,1043684,L_Ankle,0.1423,0.009,0.9803,5.41,-0.83,-10.29,0.0,0.0,0.0,0.94882,0.042634,-0.074007,0.303964,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.393,1043594,R_Ankle,0.0189,-0.0161,1.0,0.77,-1.73,-0.51,-16.37,30.5,-28.98,0.204474,0.088839,0.020203,0.974609,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.394,1043704,L_Ankle,0.1384,0.0075,0.9923,5.41,-0.83,-10.3,-38.0,-1.43,-39.36,0.94882,0.042634,-0.073977,0.303964,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.395,1043537,R_Hip,0.0441,0.0054,0.9808,0.28,-1.58,1.78,-19.23,27.99,-32.14,0.93762,-0.004181,-0.041688,-0.345103,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.396,1043724,L_Ankle,0.1433,0.0144,0.988,5.4,-0.82,-10.3,-39.61,-0.88,-40.91,0.94882,0.042634,-0.073977,0.303964,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.397,1043557,R_Hip,0.0436,0.0035,0.9962,0.29,-1.58,1.78,0.0,0.0,0.0,0.93762,-0.004181,-0.041719,-0.345103,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.399,1043577,R_Hip,0.0451,0.0171,0.99,0.29,-1.58,1.77,-17.59,29.63,-31.62,0.93762,-0.004181,-0.041719,-0.345103,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.401,1043597,R_Hip,0.0451,0.0098,0.9991,0.28,-1.58,1.77,-17.04,28.71,-31.11,0.93759,-0.004181,-0.041719,-0.345103,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.406,1043557,R_Ankle,0.0165,-0.0156,1.0105,0.75,-1.72,-0.48,-15.89,28.45,-30.03,0.204474,0.088839,0.020203,0.974609,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.407,1043558,R_Ankle,0.0135,-0.0156,0.9947,0.76,-1.71,-0.48,-16.21,29.71,-29.44,0.204443,0.08887,0.020203,0.974609,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.409,1043578,R_Ankle,0.0057,-0.0101,1.0053,0.77,-1.73,-0.5,0.0,0.0,0.0,0.204474,0.08887,0.020203,0.974609,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.410,1043598,R_Ankle,0.0292,-0.0146,1.0014,0.77,-1.73,-0.49,-16.37,31.14,-28.99,0.204443,0.08887,0.020203,0.974609,0.0,0.0,0.0,0,0
2026-06-16 15:50:30.412,1043560,R_Shank,0.033,0.8276,0.9946,-0.09,-1.47,-8.42,-17.47,26.79,-21.37,0.924162,0.035371,-0.020142,0.379742,0.0,0.0,0.0,0,0
