python_time,esp32_hw_time,sensor_name,ax,ay,az,gx,gy,gz,mx,my,mz,q0,q1,q2,q3,quat_roll,quat_pitch,quat_yaw,is_paused_flag,t_pose_flag
2026-06-08 19:35:45.889,1567206,L_Shank,-0.1462,-0.2548,0.9479,1.38,-1.03,-1.25,-6.36,29.42,-11.51,0.971496,-0.110508,0.022767,0.208411,0.0,0.0,0.0,0,0
2026-06-08 19:35:45.891,1567207,L_Hip,0.1038,-0.2709,0.9522,0.16,0.09,-0.64,-11.27,28.73,-11.28,0.972442,-0.081668,-0.073366,0.205603,0.0,0.0,0.0,0,0
2026-06-08 19:35:45.893,1567217,L_Hip,0.0906,-0.2827,0.9483,0.19,0.08,-0.58,-11.23,30.02,-12.45,0.972381,-0.081637,-0.073672,0.205756,0.0,0.0,0.0,0,0
2026-06-08 19:35:45.897,1567227,L_Hip,0.094,-0.2822,0.9464,0.19,0.09,-0.53,0.0,0.0,0.0,0.97232,-0.081637,-0.074007,0.206,0.0,0.0,0.0,0,0
2026-06-08 19:35:45.899,1567237,L_Hip,0.1073,-0.2817,0.9575,0.22,0.06,-0.38,-11.61,29.37,-10.7,0.972228,-0.081637,-0.074374,0.206244,0.0,0.0,0.0,0,0
2026-06-08 19:35:45.903,1567230,L_Shank,-0.1535,-0.2631,0.9292,1.46,-1.03,-1.26,-6.88,28.91,-11.34,0.971587,-0.110874,0.022645,0.207739,0.0,0.0,0.0,0,0
2026-06-08 19:35:45.903,1567360,R_Shank,-0.1156,1.1224,0.9269,-0.7,-0.93,-1.74,19.01,-42.21,-2.99,-0.434004,-0.122471,0.151311,0.879604,0.0,0.0,0.0,0,0
2026-06-08 19:35:45.908,1567240,L_Shank,-0.1398,-0.2602,0.9225,1.51,-1.02,-1.25,-7.23,28.57,-11.65,0.971709,-0.11127,0.022553,0.207038,0.0,0.0,0.0,0,0
2026-06-08 19:35:45.909,1567370,R_Shank,-0.119,1.1224,0.935,-0.69,-0.93,-1.74,0.0,0.0,0.0,-0.433943,-0.122257,0.150884,0.879727,0.0,0.0,0.0,0,0
2026-06-08 19:35:45.912,1567250,L_Shank,-0.1555,-0.2685,0.9484,1.52,-1.03,-1.27,0.0,0.0,0.0,0.971831,-0.111667,0.022462,0.206275,0.0,0.0,0.0,0,0
2026-06-08 19:35:45.913,1567380,R_Shank,-0.1284,-0.4184,0.9417,-0.68,-0.94,-1.72,18.8,-40.38,-2.52,-0.433912,-0.122013,0.150456,0.879849,0.0,0.0,0.0,0,0
2026-06-08 19:35:45.917,1567260,L_Shank,-0.1569,-0.267,0.9379,1.57,-1.04,-1.19,-7.76,29.75,-10.57,0.971953,-0.112033,0.02234,0.205512,0.0,0.0,0.0,0,0
2026-06-08 19:35:45.918,1567390,R_Shank,-0.121,2.4112,0.9403,-0.65,-0.94,-1.69,19.79,-40.06,-1.63,-0.433912,-0.121799,0.149998,0.879971,0.0,0.0,0.0,0,0
2026-06-08 19:35:45.922,1567242,L_Ankle,0.056,0.0183,0.9837,-0.7,-0.39,-0.84,-3.89,22.5,-27.78,0.917478,0.032044,-0.031465,0.395184,0.0,0.0,0.0,0,0
2026-06-08 19:35:45.923,1567361,R_Ankle,0.0307,-0.02,1.0038,0.89,-1.87,-0.25,-0.91,28.26,-30.49,0.974914,0.051881,-0.080355,0.200812,0.0,0.0,0.0,0,0
2026-06-08 19:35:45.925,1567252,L_Ankle,0.0585,0.0173,0.9909,-0.72,-0.4,-0.85,-4.57,22.16,-27.11,0.917478,0.032044,-0.031465,0.395215,0.0,0.0,0.0,0,0
2026-06-08 19:35:45.927,1567371,R_Ankle,0.0268,-0.0195,1.0038,0.9,-1.87,-0.26,-0.56,29.54,-30.81,0.974914,0.051851,-0.080386,0.200812,0.0,0.0,0.0,0,0
2026-06-08 19:35:45.929,1567381,R_Ankle,0.0454,-0.0195,0.9947,0.89,-1.86,-0.25,-2.1,29.05,-31.28,0.974914,0.051851,-0.080386,0.200812,0.0,0.0,0.0,0,0
2026-06-08 19:35:45.931,1567391,R_Ankle,0.0302,-0.0131,1.0048,0.89,-1.85,-0.26,-0.9,28.25,-29.57,0.974914,0.051851,-0.080386,0.200812,0.0,0.0,0.0,0,0
2026-06-08 19:35:45.933,1567364,R_Hip,0.0353,-0.1604,1.0073,-0.26,-1.12,1.51,11.43,-29.79,-22.68,0.225959,0.006348,-0.042207,0.973174,0.0,0.0,0.0,0,0
2026-06-08 19:35:45.934,1567374,R_Hip,0.0431,-0.1019,0.9303,-0.14,-0.42,1.66,0.0,0.0,0.0,0.225929,0.006165,-0.042634,0.973174,0.0,0.0,0.0,0,0
2026-06-08 19:35:45.936,1567384,R_Hip,0.0091,-0.1468,0.9751,-0.13,-0.32,1.58,11.26,-31.07,-21.82,0.225898,0.005646,-0.042848,0.973174,0.0,0.0,0.0,0,0
2026-06-08 19:35:45.938,1567394,R_Hip,-0.0465,-0.1287,0.9664,-0.07,-0.38,1.63,10.89,-30.71,-22.85,0.225806,0.005036,-0.043123,0.973174,0.0,0.0,0.0,0,0
2026-06-08 19:35:45.940,1567384,R_Ankle,0.0292,-0.0265,0.9952,0.9,-1.85,-0.25,-1.42,27.78,-30.64,0.974914,0.051881,-0.080386,0.200812,0.0,0.0,0.0,0,0
2026-06-08 19:35:45.942,1567394,R_Ankle,0.0243,-0.0205,1.0048,0.88,-1.85,-0.26,-1.09,28.11,-31.26,0.974914,0.051851,-0.080386,0.200812,0.0,0.0,0.0,0,0
2026-06-08 19:35:45.942,1567262,L_Ankle,0.0629,0.0202,0.9909,-0.69,-0.38,-0.85,0.0,0.0,0.0,0.917478,0.032075,-0.031434,0.395215,0.0,0.0,0.0,0,0
2026-06-08 19:35:45.945,1567272,L_Ankle,0.0482,0.0085,0.9966,-0.7,-0.4,-0.85,-4.91,21.46,-27.12,0.917478,0.032075,-0.031434,0.395215,0.0,0.0,0.0,0,0
2026-06-08 19:35:45.946,1567404,R_Ankle,0.0268,-0.0245,0.9957,0.88,-1.86,-0.26,-2.46,27.78,-31.58,0.974944,0.05182,-0.080386,0.200812,0.0,0.0,0.0,0,0
