python_time,esp32_hw_time,sensor_name,ax,ay,az,gx,gy,gz,mx,my,mz,q0,q1,q2,q3,quat_roll,quat_pitch,quat_yaw,is_paused_flag,t_pose_flag
2026-06-16 17:11:30.352,81544,R_Shank,-0.175,-1.9332,0.9485,2.85,-1.73,2.25,34.9,-16.24,-6.44,0.941465,0.096316,0.120212,0.299814,0.0,0.0,0.0,0,0
2026-06-16 17:11:30.353,410189,L_Ankle,0.504,-0.206,0.8181,-0.81,0.41,-1.72,-29.27,25.14,3.05,0.915799,-0.010498,-0.289163,0.278451,0.0,0.0,0.0,0,0
2026-06-16 17:11:30.355,81564,R_Shank,-0.1794,-0.2624,0.9475,2.83,-1.72,2.2,0.0,0.0,0.0,0.940733,0.097293,0.120426,0.301645,0.0,0.0,0.0,0,0
2026-06-16 17:11:30.356,410209,L_Ankle,0.5084,-0.206,0.8243,-0.8,0.49,-1.72,-28.75,24.24,1.52,0.915922,-0.010743,-0.288919,0.278298,0.0,0.0,0.0,0,0
2026-06-16 17:11:30.358,81584,R_Shank,-0.1858,0.8972,0.9557,2.8,-1.74,2.06,33.89,-17.2,-4.93,0.940031,0.098209,0.120701,0.303415,0.0,0.0,0.0,0,0
2026-06-16 17:11:30.359,410229,L_Ankle,0.4966,-0.2118,0.8113,-0.81,0.54,-1.7,-29.82,25.68,1.85,0.916044,-0.010987,-0.288675,0.278146,0.0,0.0,0.0,0,0
2026-06-16 17:11:30.361,81604,R_Shank,-0.1912,0.7676,0.9475,2.74,-1.77,1.75,33.53,-16.2,-4.91,0.939421,0.098972,0.120975,0.304971,0.0,0.0,0.0,0,0
2026-06-16 17:11:30.362,410249,L_Ankle,0.4971,-0.207,0.8248,-0.83,0.59,-1.65,0.0,0.0,0.0,0.916166,-0.011231,-0.28843,0.277963,0.0,0.0,0.0,0,0
2026-06-16 17:11:30.364,410206,L_Hip,0.0837,0.9412,0.3132,-0.83,-3.83,-3.5,-21.08,-8.66,-22.77,0.805048,0.565447,0.060518,0.168767,0.0,0.0,0.0,0,0
2026-06-16 17:11:30.366,81561,R_Hip,0.0091,-0.9879,0.1015,16.93,2.38,-13.33,28.72,15.7,-25.68,0.720939,-0.595294,0.207617,-0.287576,0.0,0.0,0.0,0,0
2026-06-16 17:11:30.367,410226,L_Hip,0.0832,0.9427,0.3025,-0.87,-3.86,-3.53,0.0,0.0,0.0,0.805109,0.565447,0.060366,0.168554,0.0,0.0,0.0,0,0
2026-06-16 17:11:30.369,81581,R_Hip,0.0012,-1.0001,0.0895,16.93,2.35,-13.36,0.0,0.0,0.0,0.721061,-0.595294,0.207099,-0.287637,0.0,0.0,0.0,0,0
2026-06-16 17:11:30.370,410246,L_Hip,0.0837,0.9456,0.2928,-0.89,-3.88,-3.56,-22.1,-8.68,-22.47,0.80517,0.565416,0.060244,0.168279,0.0,0.0,0.0,0,0
2026-06-16 17:11:30.373,81601,R_Hip,0.0027,-0.9933,0.0832,16.94,2.32,-13.35,28.71,15.7,-27.04,0.721213,-0.595294,0.206549,-0.287637,0.0,0.0,0.0,0,0
2026-06-16 17:11:30.374,410266,L_Hip,0.0876,0.9447,0.2972,-0.91,-3.89,-3.58,-23.94,-8.23,-22.88,0.805261,0.565416,0.060121,0.168004,0.0,0.0,0.0,0,0
2026-06-16 17:11:30.377,81621,R_Hip,0.0012,-1.0045,0.0837,16.98,2.32,-13.32,29.45,15.7,-25.33,0.721335,-0.595325,0.20603,-0.287637,0.0,0.0,0.0,0,0
2026-06-16 17:11:30.378,410211,L_Ankle,0.5,-0.2104,0.8382,-0.92,0.67,-1.58,-28.92,24.07,2.03,0.916288,-0.011475,-0.288247,0.277749,0.0,0.0,0.0,0,0
2026-06-16 17:11:30.380,410231,L_Ankle,0.4898,-0.2055,0.8454,-1.0,0.72,-1.51,-28.92,24.07,2.03,0.91644,-0.011628,-0.288095,0.277413,0.0,0.0,0.0,0,0
2026-06-16 17:11:30.382,410251,L_Ankle,0.4937,-0.1996,0.8181,-1.02,0.75,-1.48,0.0,0.0,0.0,0.916623,-0.01175,-0.287881,0.276986,0.0,0.0,0.0,0,0
2026-06-16 17:11:30.385,410271,L_Ankle,0.4947,-0.206,0.8401,-1.12,0.77,-1.44,-28.61,26.54,1.7,0.916837,-0.011841,-0.287698,0.276528,0.0,0.0,0.0,0,0
2026-06-16 17:11:30.388,410221,L_Shank,0.3199,-0.3238,0.8352,1.02,1.63,-1.77,-20.95,20.96,-1.46,0.967864,-0.173742,-0.156468,-0.092471,0.0,0.0,0.0,0,0
2026-06-16 17:11:30.391,410241,L_Shank,0.3214,-0.3257,0.8735,1.03,1.68,-1.74,-19.91,21.29,-0.54,0.967864,-0.17362,-0.156407,-0.092563,0.0,0.0,0.0,0,0
2026-06-16 17:11:30.392,81586,R_Hip,0.0042,-0.9962,0.0769,17.03,2.35,-13.03,29.81,15.33,-26.36,0.721519,-0.595325,0.205542,-0.287606,0.0,0.0,0.0,0,0
