python_time,esp32_hw_time,sensor_name,ax,ay,az,gx,gy,gz,mx,my,mz,q0,q1,q2,q3,quat_roll,quat_pitch,quat_yaw,is_paused_flag,t_pose_flag
2026-06-08 19:21:16.528,698202,L_Ankle,0.059,0.0144,1.0053,-0.7,-0.4,-0.85,0.0,0.0,0.0,0.845424,0.037202,-0.029664,0.531907,0.0,0.0,0.0,0,0
2026-06-08 19:21:16.530,698064,R_Hip,0.2636,-0.1897,0.9592,1.09,1.56,3.34,15.25,-12.43,-24.26,0.341807,0.078555,-0.087161,0.932402,0.0,0.0,0.0,0,0
2026-06-08 19:21:16.531,698212,L_Ankle,0.0644,0.0051,0.9731,-0.7,-0.41,-0.85,13.98,22.22,-26.09,0.845424,0.037202,-0.029664,0.531907,0.0,0.0,0.0,0,0
2026-06-08 19:21:16.533,698074,R_Hip,0.2547,-0.1956,0.9467,1.21,1.78,4.04,15.25,-12.43,-25.29,0.340587,0.077029,-0.086245,0.933042,0.0,0.0,0.0,0,0
2026-06-08 19:21:16.536,698074,R_Ankle,0.0307,-0.0225,0.9962,0.89,-1.87,-0.27,-1.43,27.47,-31.26,0.982116,0.048921,-0.082583,0.161809,0.0,0.0,0.0,0,0
2026-06-08 19:21:16.538,698084,R_Ankle,0.0336,-0.0245,1.0034,0.89,-1.87,-0.28,-0.41,27.48,-31.25,0.982116,0.048891,-0.082583,0.161809,0.0,0.0,0.0,0,0
2026-06-08 19:21:16.542,698094,R_Ankle,0.0312,-0.0166,1.011,0.89,-1.87,-0.26,0.0,0.0,0.0,0.982116,0.04886,-0.082614,0.161809,0.0,0.0,0.0,0,0
2026-06-08 19:21:16.542,698225,L_Ankle,0.058,0.009,0.9837,-0.69,-0.41,-0.83,14.12,22.74,-27.28,0.845424,0.037172,-0.029664,0.531907,0.0,0.0,0.0,0,0
2026-06-08 19:21:16.546,698104,R_Ankle,0.0356,-0.0176,0.9971,0.9,-1.86,-0.26,-0.41,27.16,-31.24,0.982116,0.04886,-0.082583,0.161779,0.0,0.0,0.0,0,0
2026-06-08 19:21:16.547,698235,L_Ankle,0.0614,0.008,0.9822,-0.7,-0.39,-0.83,15.69,23.96,-26.4,0.845424,0.037141,-0.029633,0.531938,0.0,0.0,0.0,0,0
2026-06-08 19:21:16.551,698089,R_Hip,0.2513,-0.2063,0.9255,1.3,1.4,4.83,15.25,-10.97,-24.26,0.339,0.07535,-0.085299,0.933866,0.0,0.0,0.0,0,0
2026-06-08 19:21:16.552,698245,L_Ankle,0.059,0.0178,0.9986,-0.69,-0.38,-0.86,15.22,20.6,-26.25,0.845424,0.037141,-0.029664,0.531938,0.0,0.0,0.0,0,0
2026-06-08 19:21:16.555,698099,R_Hip,0.2631,-0.1932,0.9005,1.28,1.35,4.96,14.7,-12.98,-25.11,0.337016,0.073824,-0.084445,0.934751,0.0,0.0,0.0,0,0
