python_time,esp32_hw_time,sensor_name,ax,ay,az,gx,gy,gz,mx,my,mz,q0,q1,q2,q3,quat_roll,quat_pitch,quat_yaw,is_paused_flag
2026-05-29 14:15:03.653,2756065,R_Hip,-1.0913,-0.066,0.2057,0.3,-1.32,1.53,21.34,-9.73,19.39,-0.76043,-0.029389,-0.647755,0.035676,0.0,0.0,0.0,0
2026-05-29 14:15:03.656,2756075,R_Hip,-1.0958,-0.0763,0.2105,0.3,-1.29,1.54,20.54,-10.13,19.02,-0.76043,-0.029359,-0.647755,0.035676,0.0,0.0,0.0,0
2026-05-29 14:15:03.658,2756085,R_Hip,-1.0899,-0.0709,0.2076,0.32,-1.3,1.54,0.0,0.0,0.0,-0.760399,-0.029359,-0.647755,0.035676,0.0,0.0,0.0,0
2026-05-29 14:15:03.660,2756095,R_Hip,-1.0928,-0.068,0.1937,0.31,-1.31,1.52,21.15,-9.53,18.83,-0.760399,-0.029389,-0.647755,0.035676,0.0,0.0,0.0,0
2026-05-29 14:15:03.662,2756105,R_Hip,-1.0855,-0.0768,0.2139,0.31,-1.3,1.53,20.32,-11.14,19.59,-0.760399,-0.029389,-0.647755,0.035676,0.0,0.0,0.0,0
2026-05-29 14:15:03.665,2756079,R_Ankle,-1.0012,-0.0562,0.043,1.0,-1.92,0.06,18.86,14.89,26.72,-0.703177,-0.039521,-0.709769,0.012757,0.0,0.0,0.0,0
2026-05-29 14:15:03.667,2756089,R_Ankle,-1.0134,-0.0537,0.054,0.98,-1.92,0.04,20.4,16.02,26.87,-0.703177,-0.039491,-0.709769,0.012757,0.0,0.0,0.0,0
2026-05-29 14:15:03.669,3709012,L_Hip,-0.3056,-0.8932,-0.3969,-0.7,8.02,-9.74,-25.24,24.44,31.65,0.458174,-0.317667,0.729362,-0.396405,0.0,0.0,0.0,0
2026-05-29 14:15:03.670,2756099,R_Ankle,-1.0163,-0.0631,0.0401,0.98,-1.93,0.06,20.05,15.38,26.57,-0.703177,-0.039491,-0.709769,0.012787,0.0,0.0,0.0,0
2026-05-29 14:15:03.672,2756109,R_Ankle,-1.0154,-0.0542,0.0559,1.0,-1.92,0.06,0.0,0.0,0.0,-0.703238,-0.039491,-0.709708,0.012787,0.0,0.0,0.0,0
2026-05-29 14:15:03.672,3709022,L_Hip,-0.2674,-0.9566,-0.3606,-0.83,7.44,-7.19,-25.04,24.61,30.05,0.439192,-0.327586,0.729606,-0.409162,0.0,0.0,0.0,0
2026-05-29 14:15:03.675,3709032,L_Hip,-0.3051,-0.9183,-0.3403,-0.96,6.72,-6.41,-27.46,23.27,32.12,0.422742,-0.335032,0.730308,-0.41908,0.0,0.0,0.0,0
2026-05-29 14:15:03.677,3709042,L_Hip,-0.364,-0.9011,-0.3587,-1.36,4.09,-5.63,0.0,0.0,0.0,0.409558,-0.339763,0.730979,-0.427107,0.0,0.0,0.0,0
2026-05-29 14:15:03.690,3709034,L_Hip,-0.2218,-0.9099,-0.2716,-1.67,-0.63,-2.46,-24.77,22.03,31.51,0.39848,-0.34254,0.731742,-0.434004,0.0,0.0,0.0,0
2026-05-29 14:15:03.693,3709044,L_Hip,-0.2968,-0.876,-0.2522,-2.13,-0.93,-3.47,-26.27,22.81,31.09,0.388592,-0.344584,0.732414,-0.440199,0.0,0.0,0.0,0
2026-05-29 14:15:03.694,3709054,L_Hip,-0.6269,-0.7606,-0.1457,-3.8,-3.3,-6.31,0.0,0.0,0.0,0.379711,-0.346568,0.732871,-0.44557,0.0,0.0,0.0,0
2026-05-29 14:15:03.697,3709064,L_Hip,-0.6191,-0.7154,-0.1733,-4.29,-5.66,-5.22,-27.15,22.3,32.41,0.372265,-0.348399,0.733024,-0.450179,0.0,0.0,0.0,0
2026-05-29 14:15:03.698,2756113,R_Shank,-1.0051,0.8744,0.0376,-0.09,-1.04,-1.59,21.75,17.66,25.0,-0.728935,0.000336,-0.677999,0.094333,0.0,0.0,0.0,0
2026-05-29 14:15:03.700,2756123,R_Shank,-1.0031,-0.1552,0.0472,-0.1,-1.03,-1.61,0.0,0.0,0.0,-0.728935,0.000336,-0.677999,0.094363,0.0,0.0,0.0,0
2026-05-29 14:15:03.702,2756133,R_Shank,-1.0065,2.4156,0.0463,-0.09,-1.05,-1.59,21.05,19.33,24.72,-0.728965,0.000305,-0.677999,0.094333,0.0,0.0,0.0,0
2026-05-29 14:15:03.704,2756143,R_Shank,-1.0095,1.6452,0.0444,-0.09,-1.03,-1.58,20.52,19.84,25.78,-0.728935,0.000305,-0.677999,0.094333,0.0,0.0,0.0,0
2026-05-29 14:15:03.706,2756114,R_Hip,-1.1011,-0.0641,0.2038,0.3,-1.31,1.52,20.31,-9.53,20.71,-0.76043,-0.029389,-0.647755,0.035707,0.0,0.0,0.0,0
2026-05-29 14:15:03.708,2756124,R_Hip,-1.0972,-0.0763,0.2072,0.29,-1.32,1.53,0.0,0.0,0.0,-0.76043,-0.029389,-0.647755,0.035676,0.0,0.0,0.0,0
2026-05-29 14:15:03.710,2756134,R_Hip,-1.0879,-0.0719,0.2019,0.29,-1.32,1.54,19.32,-9.33,19.79,-0.76043,-0.029389,-0.647725,0.035707,0.0,0.0,0.0,0
2026-05-29 14:15:03.712,2756144,R_Hip,-1.0899,-0.0748,0.1942,0.29,-1.32,1.54,0.0,0.0,0.0,-0.76046,-0.029389,-0.647725,0.035707,0.0,0.0,0.0,0
2026-05-29 14:15:03.714,3709059,L_Shank,-0.7394,-0.016,0.637,2.13,0.16,0.37,47.86,9.16,-5.99,0.914548,-0.107761,0.335643,0.198279,0.0,0.0,0.0,0
2026-05-29 14:15:03.717,3709069,L_Shank,-0.7429,-0.0165,0.6413,2.01,0.23,0.04,47.17,10.52,-6.31,0.913602,-0.107486,0.337657,0.199316,0.0,0.0,0.0,0
2026-05-29 14:15:03.719,2756134,R_Shank,-0.9977,3.1864,0.0237,-0.11,-1.03,-1.59,21.73,18.66,25.31,-0.728935,0.000305,-0.67803,0.094333,0.0,0.0,0.0,0
2026-05-29 14:15:03.719,3709079,L_Shank,-0.7502,-0.018,0.6336,1.97,0.24,-0.03,48.92,9.84,-6.32,0.912656,-0.10715,0.339671,0.200415,0.0,0.0,0.0,0
2026-05-29 14:15:03.721,3709089,L_Shank,-0.7775,0.0024,0.6163,1.94,-0.02,-0.16,0.0,0.0,0.0,0.911679,-0.106784,0.341685,0.201575,0.0,0.0,0.0,0
2026-05-29 14:15:03.721,2756144,R_Shank,-1.0036,2.4156,0.0328,-0.1,-1.02,-1.59,20.57,17.19,25.76,-0.728935,0.000275,-0.67803,0.094333,0.0,0.0,0.0,0
2026-05-29 14:15:03.724,2756154,R_Shank,-1.007,-1.5672,0.0319,-0.09,-1.03,-1.59,20.39,18.02,25.32,-0.728935,0.000275,-0.67803,0.094333,0.0,0.0,0.0,0
2026-05-29 14:15:03.724,3709064,L_Ankle,-1.0035,-0.009,0.0855,-0.4,-0.65,-1.13,58.94,-2.77,21.2,0.735771,0.084536,0.666463,-0.085391,0.0,0.0,0.0,0
2026-05-29 14:15:03.726,2756164,R_Shank,-0.9992,1.6452,0.0395,-0.09,-1.02,-1.59,21.56,19.15,24.86,-0.728935,0.000244,-0.67803,0.094302,0.0,0.0,0.0,0
2026-05-29 14:15:03.727,3709074,L_Ankle,-1.0049,-0.0144,0.0865,-0.41,-0.66,-1.12,59.3,-3.84,20.53,0.735771,0.084536,0.666433,-0.085391,0.0,0.0,0.0,0
2026-05-29 14:15:03.729,2756139,R_Hip,-1.086,-0.0768,0.1918,0.31,-1.31,1.53,20.74,-10.33,19.21,-0.76046,-0.029389,-0.647725,0.035707,0.0,0.0,0.0,0
2026-05-29 14:15:03.729,3709084,L_Ankle,-1.0113,-0.0222,0.0731,-0.4,-0.64,-1.12,0.0,0.0,0.0,0.735771,0.084536,0.666463,-0.08536,0.0,0.0,0.0,0
2026-05-29 14:15:03.731,2756149,R_Hip,-1.0948,-0.0778,0.1971,0.31,-1.31,1.52,19.51,-9.53,20.73,-0.76046,-0.02942,-0.647725,0.035707,0.0,0.0,0.0,0
2026-05-29 14:15:03.732,3709094,L_Ankle,-1.0049,-0.0061,0.0683,-0.4,-0.66,-1.12,59.49,-3.31,22.06,0.735801,0.084536,0.666433,-0.08536,0.0,0.0,0.0,0
2026-05-29 14:15:03.734,2756159,R_Hip,-1.0997,-0.0719,0.1879,0.31,-1.32,1.52,20.35,-8.33,18.47,-0.76043,-0.029389,-0.647725,0.035707,0.0,0.0,0.0,0
2026-05-29 14:15:03.735,3709078,L_Hip,-0.1683,-0.6855,-0.3998,-7.32,-11.23,-0.25,-28.33,22.76,33.15,0.365551,-0.349895,0.732933,-0.454634,0.0,0.0,0.0,0
2026-05-29 14:15:03.736,2756169,R_Hip,-1.0894,-0.0714,0.1952,0.31,-1.3,1.52,0.0,0.0,0.0,-0.76046,-0.029389,-0.647694,0.035707,0.0,0.0,0.0,0
2026-05-29 14:15:03.738,3709088,L_Hip,-0.1752,-0.7405,-0.4318,-8.18,-9.92,1.08,-26.83,21.66,32.99,0.359294,-0.350932,0.733024,-0.458632,0.0,0.0,0.0,0
2026-05-29 14:15:03.740,3709098,L_Hip,-0.2085,-0.824,-0.456,-8.67,-7.42,4.09,-24.66,21.22,33.98,0.349864,-0.354747,0.732597,-0.463668,0.0,0.0,0.0,0
2026-05-29 14:15:03.741,2756157,R_Shank,-1.01,-0.1552,0.0275,-0.09,-1.04,-1.6,20.88,19.5,24.87,-0.728935,0.000244,-0.67803,0.094302,0.0,0.0,0.0,0
2026-05-29 14:15:03.743,3709108,L_Hip,-0.1364,-0.8338,-0.5146,-8.5,-6.73,5.32,0.0,0.0,0.0,0.3408,-0.35905,0.731864,-0.468245,0.0,0.0,0.0,0
2026-05-29 14:15:03.743,2756167,R_Shank,-1.011,-3.2376,0.041,-0.09,-1.05,-1.59,0.0,0.0,0.0,-0.728935,0.000244,-0.67803,0.094302,0.0,0.0,0.0,0
2026-05-29 14:15:03.745,2756177,R_Shank,-1.0075,-2.3376,0.0328,-0.09,-1.03,-1.58,20.58,17.84,23.96,-0.728935,0.000244,-0.67803,0.094272,0.0,0.0,0.0,0
2026-05-29 14:15:03.746,3709081,L_Shank,-0.7409,-0.0322,0.6418,1.89,-0.12,-0.23,47.17,10.18,-6.31,0.910733,-0.106418,0.343669,0.202765,0.0,0.0,0.0,0
2026-05-29 14:15:03.748,2756187,R_Shank,-1.007,-0.926,0.0415,-0.1,-1.02,-1.58,21.93,17.49,24.54,-0.728935,0.000275,-0.67803,0.094302,0.0,0.0,0.0,0
2026-05-29 14:15:03.748,3709091,L_Shank,-0.7301,-0.0302,0.6437,2.06,0.1,-0.31,46.12,8.82,-5.97,0.909696,-0.10596,0.345744,0.204138,0.0,0.0,0.0,0
2026-05-29 14:15:03.751,3709101,L_Shank,-0.7512,-0.0371,0.6538,2.19,0.32,-0.47,48.91,9.84,-6.01,0.908506,-0.105472,0.347942,0.205817,0.0,0.0,0.0,0
2026-05-29 14:15:03.753,3709111,L_Shank,-0.759,-0.039,0.6542,2.45,0.63,-0.5,0.0,0.0,0.0,0.907224,-0.104923,0.350352,0.207739,0.0,0.0,0.0,0
2026-05-29 14:15:03.754,2756169,R_Ankle,-1.0154,-0.0547,0.0521,0.98,-1.91,0.05,19.38,15.37,27.49,-0.703207,-0.03946,-0.709738,0.012787,0.0,0.0,0.0,0
2026-05-29 14:15:03.755,3709089,L_Ankle,-0.9976,-0.0154,0.1023,-0.41,-0.64,-1.13,58.28,-4.53,21.53,0.735801,0.084536,0.666433,-0.08536,0.0,0.0,0.0,0
2026-05-29 14:15:03.756,2756179,R_Ankle,-1.0036,-0.0448,0.0358,0.99,-1.93,0.06,20.58,15.54,27.34,-0.703207,-0.03946,-0.709738,0.012787,0.0,0.0,0.0,0
2026-05-29 14:15:03.758,3709099,L_Ankle,-0.9966,-0.0227,0.0894,-0.41,-0.65,-1.13,59.11,-2.24,21.04,0.735801,0.084567,0.666433,-0.08533,0.0,0.0,0.0,0
2026-05-29 14:15:03.758,2756189,R_Ankle,-1.0085,-0.0498,0.0449,0.99,-1.93,0.05,0.0,0.0,0.0,-0.703177,-0.03946,-0.709769,0.012818,0.0,0.0,0.0,0
2026-05-29 14:15:03.760,3709109,L_Ankle,-1.0069,-0.0237,0.0774,-0.41,-0.66,-1.12,0.0,0.0,0.0,0.735801,0.084567,0.666433,-0.08533,0.0,0.0,0.0,0
2026-05-29 14:15:03.761,2756199,R_Ankle,-1.0065,-0.0552,0.0483,0.98,-1.93,0.06,20.57,15.22,27.35,-0.703177,-0.039491,-0.709769,0.012787,0.0,0.0,0.0,0
2026-05-29 14:15:03.762,3709119,L_Ankle,-0.9971,-0.011,0.0932,-0.41,-0.65,-1.12,59.48,-4.38,20.36,0.735801,0.084567,0.666402,-0.08533,0.0,0.0,0.0,0
2026-05-29 14:15:03.765,3709101,L_Hip,0.0376,-1.0376,-0.5935,-6.64,-0.68,10.5,-25.01,21.53,35.14,0.332713,-0.362224,0.731529,-0.472152,0.0,0.0,0.0,0
2026-05-29 14:15:03.767,3709111,L_Hip,0.1077,-1.0897,-0.6061,-5.51,1.77,12.06,-25.56,20.06,35.59,0.325877,-0.364025,0.731742,-0.475173,0.0,0.0,0.0,0
2026-05-29 14:15:03.769,3709121,L_Hip,0.1573,-1.0224,-0.608,-2.77,5.29,12.14,0.0,0.0,0.0,0.320261,-0.36552,0.731986,-0.477462,0.0,0.0,0.0,0
2026-05-29 14:15:03.771,3709131,L_Hip,0.0077,-0.9055,-0.6303,-2.32,6.48,10.87,-25.18,22.01,35.58,0.316691,-0.367504,0.732017,-0.478286,0.0,0.0,0.0,0
2026-05-29 14:15:03.773,3709104,L_Shank,-0.799,-0.0116,0.6418,2.63,0.53,-0.51,46.13,9.85,-6.61,0.905942,-0.104373,0.35255,0.209815,0.0,0.0,0.0,0
2026-05-29 14:15:03.774,2756189,R_Hip,-1.0943,-0.0685,0.1865,0.29,-1.32,1.54,21.33,-9.33,20.14,-0.76046,-0.029389,-0.647694,0.035707,0.0,0.0,0.0,0
2026-05-29 14:15:03.775,3709114,L_Shank,-0.7946,-0.0082,0.6394,2.48,0.07,-0.51,47.52,9.17,-6.61,0.904813,-0.103854,0.354381,0.211859,0.0,0.0,0.0,0
2026-05-29 14:15:03.776,2756199,R_Hip,-1.0884,-0.0739,0.2158,0.3,-1.32,1.53,20.34,-7.52,19.59,-0.760491,-0.029389,-0.647664,0.035707,0.0,0.0,0.0,0
2026-05-29 14:15:03.778,3709124,L_Shank,-0.78,-0.0244,0.6245,2.45,-0.06,-0.51,47.34,10.0,-5.53,0.903836,-0.103458,0.355754,0.213935,0.0,0.0,0.0,0
2026-05-29 14:15:03.778,2756209,R_Hip,-1.0899,-0.0768,0.1952,0.29,-1.32,1.51,21.14,-9.93,19.2,-0.760521,-0.02942,-0.647633,0.035676,0.0,0.0,0.0,0
2026-05-29 14:15:03.780,3709134,L_Shank,-0.7922,-0.0058,0.648,2.48,-0.19,-0.44,0.0,0.0,0.0,0.903043,-0.103122,0.3567,0.215918,0.0,0.0,0.0,0
2026-05-29 14:15:03.781,2756219,R_Hip,-1.0958,-0.07,0.199,0.29,-1.31,1.52,0.0,0.0,0.0,-0.760521,-0.02945,-0.647633,0.035676,0.0,0.0,0.0,0
2026-05-29 14:15:03.782,3709114,L_Ankle,-0.9986,-0.0095,0.0884,-0.41,-0.66,-1.12,59.49,-3.31,21.72,0.735832,0.084567,0.666402,-0.08533,0.0,0.0,0.0,0
2026-05-29 14:15:03.784,3709124,L_Ankle,-1.002,-0.0075,0.0827,-0.4,-0.64,-1.12,59.32,-3.13,22.23,0.735832,0.084567,0.666402,-0.08533,0.0,0.0,0.0,0
2026-05-29 14:15:03.786,3709134,L_Ankle,-0.9956,-0.0051,0.0774,-0.41,-0.65,-1.11,0.0,0.0,0.0,0.735862,0.084567,0.666372,-0.08533,0.0,0.0,0.0,0
2026-05-29 14:15:03.788,3709144,L_Ankle,-1.003,-0.0168,0.0879,-0.4,-0.65,-1.12,58.45,-4.71,21.02,0.735862,0.084567,0.666341,-0.08533,0.0,0.0,0.0,0
2026-05-29 14:15:03.791,3709126,L_Shank,-0.7986,-0.02,0.6542,2.48,-0.37,-0.17,48.21,9.84,-6.0,0.902371,-0.102725,0.357341,0.21775,0.0,0.0,0.0,0
2026-05-29 14:15:03.793,3709136,L_Shank,-0.7819,-0.0302,0.637,2.51,-0.45,-0.06,46.98,8.98,-5.2,0.901822,-0.10239,0.357891,0.219337,0.0,0.0,0.0,0
2026-05-29 14:15:03.794,3709146,L_Shank,-0.7771,-0.0346,0.6403,2.57,-0.45,-0.02,49.09,11.03,-6.49,0.901303,-0.102054,0.358531,0.220618,0.0,0.0,0.0,0
2026-05-29 14:15:03.796,3709156,L_Shank,-0.7795,-0.0097,0.6346,2.61,-0.53,-0.06,46.99,9.66,-5.52,0.900784,-0.10181,0.359294,0.221625,0.0,0.0,0.0,0
